YEKT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events
2007-8-20,77,70,62,70,63,63,100,84,69,30.21,30.12,30.09,6,6,4,9,7,,0.00,6,Fog
2007-8-21,77,66,55,64,60,55,100,80,50,30.30,30.25,30.21,6,5,0,9,4,11,0.00,5,Fog
2007-8-22,75,65,55,63,56,55,100,79,50,30.30,30.25,30.15,6,6,6,11,6,,0.00,4,
2007-8-23,78,70,62,66,62,61,100,82,54,30.12,30.02,29.89,6,6,6,20,9,29,0.00,6,
2007-8-24,66,60,53,61,56,48,100,85,60,30.24,30.15,29.98,6,6,6,13,8,16,0.00,3,
2007-8-25,77,62,46,66,57,46,100,83,65,30.18,29.94,29.80,6,6,6,22,6,29,0.00,5,
2007-8-26,78,69,60,66,64,61,100,85,57,29.83,29.74,29.62,6,4,0,18,5,25,0.00,6,Fog-Rain
2007-8-27,73,68,60,66,63,59,100,89,73,29.71,29.65,29.62,6,5,2,16,8,29,0.00,7,Rain-Thunderstorm
2007-8-28,66,62,55,61,58,50,100,80,56,29.92,29.79,29.65,6,6,6,13,9,20,0.00,4,
2007-8-29,64,53,44,63,52,45,100,95,82,29.92,29.81,29.65,6,5,1,11,5,,0.00,5,Fog-Rain
2007-8-30,66,60,50,63,52,39,100,78,37,29.77,29.70,29.65,6,5,2,20,12,27,0.00,6,Rain
2007-8-31,64,55,46,52,45,45,94,82,56,29.80,29.77,29.74,6,6,6,13,8,20,0.00,4,
2007-9-1,62,55,46,50,48,41,100,80,55,29.89,29.76,29.71,6,6,6,18,5,25,0.00,5,
2007-9-2,68,54,41,50,44,39,100,76,46,29.92,29.85,29.74,6,6,4,16,4,18,0.00,4,
2007-9-3,59,52,44,52,46,37,94,73,45,30.06,29.95,29.77,6,6,6,11,8,16,0.00,6,
2007-9-4,68,55,42,54,44,39,93,75,49,30.12,30.08,30.04,,,,16,9,18,0.00,,
2007-9-5,60,58,57,61,54,54,100,90,77,30.04,29.90,29.80,6,4,2,16,9,22,0.00,8,Rain
2007-9-6,59,52,44,59,48,39,100,80,51,30.09,29.97,29.80,6,6,2,20,8,27,0.00,4,
2007-9-7,60,48,35,45,38,34,100,74,52,30.09,29.99,29.77,6,6,4,18,5,22,0.00,4,Fog
2007-9-8,60,56,51,54,49,45,100,80,55,29.74,29.66,29.62,6,6,2,25,16,34,0.00,6,Rain
2007-9-9,51,48,46,52,51,45,100,96,87,29.83,29.71,29.62,6,6,4,13,7,18,0.00,8,Rain
2007-9-10,64,55,46,57,48,46,100,92,73,29.83,29.64,29.53,6,6,3,20,11,22,0.00,7,Rain
2007-9-11,57,54,50,55,54,46,100,95,87,29.65,29.61,29.56,6,6,1,13,8,,0.00,5,Rain
2007-9-12,48,45,42,46,46,39,100,89,76,29.89,29.77,29.65,6,6,3,16,7,25,0.00,7,Rain
2007-9-13,53,47,41,45,38,34,93,79,54,30.04,29.94,29.89,6,6,6,13,8,20,0.00,5,
2007-9-14,59,47,35,43,38,34,100,76,48,30.12,30.08,29.95,6,6,4,13,6,,0.00,6,
2007-9-15,60,50,41,50,42,39,94,81,63,29.95,29.67,29.53,6,6,6,16,7,20,0.00,7,Rain
2007-9-16,57,52,48,52,48,48,100,91,72,29.62,29.50,29.42,6,6,4,11,9,,0.00,8,Rain
2007-9-17,60,52,44,50,48,43,100,83,55,29.89,29.79,29.65,6,6,6,11,8,,0.00,6,
2007-9-18,59,54,50,52,50,48,94,84,67,29.95,29.89,29.86,6,6,4,16,7,22,0.00,8,Rain
2007-9-19,64,57,50,52,50,46,94,80,56,30.09,29.97,29.95,6,6,6,20,10,18,0.00,4,
2007-9-20,57,49,41,46,43,36,100,74,47,30.30,30.17,30.09,6,6,4,11,6,,0.00,3,Fog
2007-9-21,59,47,35,41,35,34,100,75,48,30.36,30.32,30.30,6,6,5,16,8,18,0.00,2,
2007-9-22,53,50,48,54,47,43,100,96,82,30.36,30.30,30.27,6,5,1,11,6,,0.00,7,Rain
2007-9-23,59,48,37,50,44,37,100,88,63,30.36,30.36,30.27,6,4,0,9,4,13,0.00,2,Fog
2007-9-24,60,51,42,57,49,39,100,91,82,30.27,30.22,30.15,6,5,3,11,2,,0.00,6,Rain
2007-9-25,60,50,39,50,45,37,100,83,48,30.36,30.30,30.21,6,4,0,9,3,,0.00,6,Fog
2007-9-26,60,50,39,48,41,37,100,82,63,30.45,30.38,30.36,6,6,6,11,6,,0.00,5,
2007-9-27,62,53,44,50,44,43,100,82,59,30.51,30.47,30.45,,,,11,8,,0.00,,
2007-9-28,66,56,46,54,47,45,100,84,60,30.48,30.45,30.33,6,6,6,13,11,,0.00,6,
2007-9-29,57,52,44,52,50,39,94,85,63,30.33,30.26,30.21,6,6,2,11,9,18,0.00,8,Rain
2007-9-30,50,44,37,41,38,37,100,86,66,30.30,30.22,30.15,6,6,6,16,4,25,0.00,5,Rain
2007-10-1,42,38,35,37,37,30,93,81,65,30.42,30.30,30.21,6,6,6,13,9,20,0.00,4,
2007-10-2,48,37,26,34,30,27,100,83,53,30.54,30.48,30.42,6,6,6,7,3,,0.00,3,
2007-10-3,55,44,33,39,33,32,93,77,51,30.57,30.54,30.54,,,,11,9,16,0.00,,
2007-10-4,59,47,35,43,38,34,93,75,45,30.60,30.57,30.57,,,,11,10,,0.00,,
2007-10-5,59,48,37,39,35,30,87,68,34,30.57,30.57,30.48,,,,16,8,16,0.00,,
2007-10-6,60,48,37,36,33,30,81,60,31,30.48,30.46,30.45,,,,16,10,22,0.00,,
2007-10-7,59,48,37,37,34,30,81,63,34,30.48,30.48,30.42,,,,11,8,,0.00,,
2007-10-8,64,48,33,43,36,32,93,67,30,30.48,30.43,30.42,6,5,3,9,6,,0.00,1,
2007-10-9,60,48,37,36,33,32,87,59,34,30.39,30.19,30.06,6,6,6,16,7,25,0.00,0,
2007-10-10,53,48,42,46,40,34,87,71,50,30.06,29.96,29.89,6,6,6,22,9,29,0.00,6,Rain
2007-10-11,48,44,41,43,37,37,93,85,76,29.95,29.95,29.86,6,6,2,13,10,27,0.00,5,Rain
2007-10-12,42,38,33,41,39,32,100,90,81,29.92,29.80,29.74,6,6,4,16,6,,0.00,7,Rain
2007-10-13,41,34,28,34,29,27,100,86,65,30.04,29.99,29.92,6,6,6,16,8,22,0.00,4,
2007-10-14,39,37,35,37,33,30,100,90,75,30.15,30.03,30.01,6,6,4,11,7,,0.00,8,Rain
2007-10-15,42,38,35,41,36,36,100,96,93,30.15,30.00,29.83,6,6,4,20,8,29,0.00,8,Rain
2007-10-16,51,46,41,50,43,36,100,92,76,29.80,29.71,29.62,6,5,2,25,11,34,0.00,8,Rain
2007-10-17,41,37,33,34,34,30,93,85,75,29.83,29.73,29.71,6,6,3,22,14,27,0.00,4,Rain-Snow
2007-10-18,42,36,30,41,31,27,100,88,80,29.95,29.89,29.83,6,6,5,20,12,22,0.00,8,Rain-Snow
2007-10-19,48,45,42,45,41,41,93,91,82,30.04,29.93,29.92,6,6,6,18,14,25,0.00,8,Rain
2007-10-20,46,42,39,45,43,39,100,92,87,30.30,30.17,30.04,6,5,3,20,17,27,0.00,5,Rain
2007-10-21,39,36,33,39,36,34,100,95,81,30.51,30.40,30.30,6,5,0,7,3,,0.00,4,Fog
2007-10-22,39,32,24,36,30,25,100,89,70,30.57,30.52,30.51,6,6,6,9,4,,0.00,6,
2007-10-23,33,30,26,32,27,27,100,99,93,30.51,30.50,30.48,6,6,6,11,9,13,0.00,6,
2007-10-24,35,34,32,36,32,30,100,94,87,30.54,30.47,30.45,6,6,1,11,10,,0.00,8,Snow
2007-10-25,33,32,32,34,33,30,100,97,93,30.54,30.54,30.48,6,6,4,13,10,,0.00,7,
2007-10-26,42,38,33,41,34,34,100,94,87,30.48,30.44,30.39,6,5,3,16,11,,0.00,8,Rain
2007-10-27,41,40,39,41,41,37,100,97,87,30.51,30.43,30.42,6,5,1,11,5,16,0.00,8,Rain
2007-10-28,39,38,37,37,37,36,100,92,87,30.51,30.48,30.48,6,6,6,11,9,,0.00,8,
2007-10-29,37,34,28,36,36,28,100,95,87,30.51,30.49,30.45,6,6,4,13,10,,0.00,8,
2007-10-30,33,32,30,34,32,30,100,98,93,30.60,30.49,30.45,6,4,2,11,10,,0.00,5,
2007-10-31,33,30,28,32,30,28,100,100,93,30.60,30.58,30.48,6,2,0,11,4,,0.00,6,Fog
2007-11-1,33,30,28,30,30,27,100,99,87,30.45,30.28,30.09,6,6,3,9,4,,0.00,8,
2007-11-2,48,39,30,37,30,28,93,80,54,30.06,29.76,29.50,6,6,6,20,9,27,0.00,7,Rain
2007-11-3,42,42,39,41,39,39,100,94,87,29.47,29.31,29.18,6,6,4,16,14,18,0.00,8,Rain
2007-11-4,39,36,32,37,36,32,100,95,87,29.53,29.37,29.18,6,6,4,13,11,20,0.00,8,Rain-Snow
2007-11-5,33,26,19,32,27,18,100,87,64,29.77,29.68,29.53,6,6,3,11,8,,0.00,6,Snow
2007-11-6,24,20,15,23,19,10,100,84,68,29.95,29.84,29.77,6,5,2,11,7,18,0.00,8,Snow
2007-11-7,19,16,12,14,10,7,93,78,58,30.15,30.04,29.95,6,6,2,13,10,20,0.00,8,Snow
2007-11-8,23,16,10,16,10,9,93,84,74,30.36,30.25,30.18,6,6,6,16,8,,0.00,6,Snow
2007-11-9,21,16,12,18,12,10,100,88,80,30.45,30.39,30.36,6,5,2,13,10,,0.00,7,Snow
2007-11-10,19,12,6,16,8,5,93,87,74,30.45,30.44,30.33,6,5,5,11,6,,0.00,5,
2007-11-11,24,18,10,16,14,9,93,81,59,30.30,30.27,30.21,5,5,5,7,5,,0.00,8,
2007-11-12,21,12,3,18,10,1,100,94,80,30.21,30.19,30.12,6,4,0,9,4,,0.00,3,Fog
2007-11-13,15,9,3,12,6,1,100,92,79,30.18,30.15,30.15,6,5,4,9,4,,0.00,3,Snow
2007-11-14,23,14,6,21,10,5,93,89,85,30.27,30.17,30.15,6,5,2,11,6,,0.00,5,Snow
2007-11-15,28,26,24,23,22,21,93,85,74,30.33,30.30,30.24,6,6,5,9,6,,0.00,8,Snow
2007-11-16,28,26,24,27,21,21,100,88,80,30.24,30.19,30.15,6,5,2,13,8,20,0.00,8,Snow
2007-11-17,33,30,26,34,25,23,100,94,86,30.15,29.74,29.53,6,4,0,16,10,22,0.00,8,Snow
2007-11-18,26,24,23,25,23,21,100,90,86,29.74,29.69,29.59,6,4,1,11,10,18,0.00,8,Snow
2007-11-19,23,14,6,23,15,5,100,95,86,29.62,29.60,29.56,6,5,1,11,5,,0.00,7,Snow
2007-11-20,12,8,5,10,7,1,92,88,79,29.59,29.56,29.47,6,4,1,16,11,,0.00,8,Snow
2007-11-21,10,6,1,9,4,0,100,90,78,29.74,29.60,29.47,6,5,1,16,2,22,0.00,8,Snow
2007-11-22,23,12,0,21,10,-2,100,92,85,30.06,29.95,29.77,6,5,3,16,6,20,0.00,8,Snow
2007-11-23,24,22,19,21,18,14,93,82,74,30.18,30.09,30.06,6,6,6,22,14,27,0.00,6,Snow
2007-11-24,24,22,21,19,16,16,80,80,74,30.15,30.14,30.06,6,6,4,25,16,29,0.00,2,Snow
2007-11-25,23,20,17,21,20,18,100,94,86,30.24,30.19,30.09,6,3,1,18,16,,0.00,6,Snow
2007-11-26,23,21,19,19,19,16,93,89,86,30.15,30.10,30.09,6,6,2,25,13,25,0.00,8,Snow
2007-11-27,28,22,15,23,20,10,100,85,69,30.12,30.11,30.04,6,6,5,11,9,18,0.00,8,Snow
2007-11-28,23,18,14,12,9,5,79,69,54,30.04,29.84,29.68,,,,18,11,18,0.00,,
2007-11-29,26,22,19,25,20,12,100,90,59,29.74,29.68,29.68,6,5,2,13,10,18,0.00,8,Snow
2007-11-30,26,22,17,23,23,16,100,92,86,29.74,29.74,29.74,6,5,1,11,11,,0.00,8,Snow
2007-12-1,26,20,15,27,17,14,100,94,86,29.74,29.59,29.44,6,4,1,16,9,22,0.00,8,Snow
2007-12-2,21,12,1,18,11,0,100,90,85,30.09,29.91,29.65,6,4,1,13,10,,0.00,8,Snow
2007-12-3,6,1,-4,5,2,-6,92,90,85,30.30,30.17,30.09,6,6,4,11,9,,0.00,7,Snow
2007-12-4,12,2,-7,10,-3,-9,92,88,84,30.39,30.31,30.30,6,5,1,13,4,,0.00,5,Snow
2007-12-5,24,19,14,18,13,12,93,83,59,30.39,30.38,30.27,6,5,3,13,9,20,0.00,8,Snow
2007-12-6,24,20,15,16,14,12,93,82,64,30.36,30.27,30.24,6,5,1,18,14,22,0.00,8,Snow
2007-12-7,21,19,17,19,16,16,93,92,86,30.39,30.38,30.33,6,6,4,16,11,,0.00,8,Snow
2007-12-8,21,12,1,19,16,0,100,95,86,30.39,30.33,30.33,6,5,4,13,11,,0.00,8,Snow
2007-12-9,8,4,0,7,0,-2,92,89,79,30.39,30.38,30.36,6,5,3,7,4,,0.00,3,
2007-12-10,14,10,6,10,8,5,92,88,85,30.45,30.39,30.39,5,4,3,11,5,,0.00,6,Snow
2007-12-11,10,6,1,7,5,0,92,87,79,30.54,30.46,30.45,6,3,1,13,7,,0.00,8,Snow
2007-12-12,14,5,-2,10,1,-4,92,90,85,30.51,30.50,30.39,6,4,1,11,5,,0.00,4,Snow
2007-12-13,15,10,5,12,9,3,100,89,86,30.48,30.41,30.39,6,4,2,7,2,,0.00,4,
2007-12-14,14,6,-2,12,0,-6,100,89,85,30.51,30.50,30.42,5,3,0,9,3,,0.00,3,Fog
2007-12-15,12,10,8,10,8,7,92,88,85,30.42,30.22,29.98,6,4,3,18,9,22,0.00,8,Snow
2007-12-16,15,12,10,16,8,7,100,90,85,30.18,30.09,29.98,6,4,1,16,13,,0.00,8,Snow
2007-12-17,21,19,17,19,17,16,100,95,86,30.21,30.10,29.86,6,5,2,16,8,22,0.00,8,Snow
2007-12-18,30,26,21,27,22,19,100,95,86,29.83,29.59,29.24,6,5,1,18,16,22,0.00,8,Snow
2007-12-19,26,22,17,25,25,14,100,97,86,29.59,29.31,29.15,6,3,1,13,11,20,0.00,8,Snow
2007-12-20,15,9,3,14,8,1,93,90,85,29.62,29.45,29.24,6,5,3,11,9,,0.00,8,Snow
2007-12-21,12,10,8,9,8,7,92,90,85,29.30,29.19,29.15,6,4,1,9,9,13,0.00,8,Snow
2007-12-22,6,-4,-13,5,-7,-17,92,85,77,29.47,29.41,29.33,6,5,3,11,8,18,0.00,6,Snow
2007-12-23,5,-6,-16,1,-10,-20,85,83,77,29.74,29.63,29.47,6,5,1,20,6,29,0.00,6,Snow
2007-12-24,6,-7,-20,1,-13,-24,85,73,59,30.33,29.96,29.59,6,4,1,18,12,27,0.00,8,Snow
2007-12-25,5,-10,-22,1,-12,-27,92,80,76,30.48,30.43,30.33,6,4,2,22,7,29,0.00,6,Snow
2007-12-26,28,17,6,27,18,3,100,92,85,30.45,30.31,30.24,6,5,1,22,20,22,0.00,8,Rain-Snow
2007-12-27,28,22,12,27,21,7,100,91,79,30.66,30.60,30.51,6,5,2,25,11,34,0.00,8,Snow
2007-12-28,23,18,12,12,9,0,85,68,57,30.51,30.48,30.42,6,6,6,22,20,27,0.00,7,Snow
2007-12-29,12,8,5,9,1,-2,92,74,67,30.51,30.46,30.45,6,5,3,20,16,22,0.00,7,Snow
2007-12-30,12,8,5,7,-1,-4,85,73,66,30.48,30.41,30.36,6,6,2,22,14,25,0.00,6,Snow
2007-12-31,12,11,10,7,6,3,85,78,73,30.54,30.44,30.39,6,6,6,16,15,,0.00,8,Snow
